cohort,N_total,n_rank_selection,n_inner_train_approx,p,q,true_rank,population_R2,per_direction_variance_share,spectrum,seeds,observed_cohort_R2,observed_cohort_rank,median_selected_rank,mean_selected_rank,exact_rank_rate,rank_zero_rate,fraction_true_directions_retained,median_cv_R2,mean_cv_R2
Wang ESRD,287,230,184,24,24,2,0.02,0.01,equal,100,0.096,2,0.0,0.19,0.03,0.84,0.095,0.0,0.0004042867395863181
Wang ESRD,287,230,184,24,24,2,0.05,0.025,equal,100,0.096,2,2.0,2.0,0.98,0.0,0.995,0.02715342961970868,0.026669885667768987
Wang ESRD,287,230,184,24,24,2,0.1,0.05,equal,100,0.096,2,2.0,2.0,1.0,0.0,1.0,0.07747795758501475,0.07891956839628886
Wang ESRD,287,230,184,24,24,2,0.15,0.075,equal,100,0.096,2,2.0,2.0,1.0,0.0,1.0,0.12959444663064623,0.13081088026799523
Wang ESRD,287,230,184,24,24,2,0.2,0.1,equal,100,0.096,2,2.0,2.0,1.0,0.0,1.0,0.181323002022379,0.1816732892161183
Wang ESRD,287,230,184,24,24,2,0.3,0.15,equal,100,0.096,2,2.0,2.0,1.0,0.0,1.0,0.2803211892727544,0.2809785951601901
Wang ESRD,287,230,184,24,24,2,0.5,0.25,equal,100,0.096,2,2.0,2.0,1.0,0.0,1.0,0.4849217096895783,0.48673854407166706
Wang ESRD,287,230,184,24,24,10,0.02,0.002,equal,100,0.096,2,0.0,0.01,0.0,0.99,0.001,0.0,1.9992656142775457e-06
Wang ESRD,287,230,184,24,24,10,0.05,0.005,equal,100,0.096,2,0.0,0.05,0.0,0.95,0.005,0.0,0.0001727660984164747
Wang ESRD,287,230,184,24,24,10,0.1,0.01,equal,100,0.096,2,4.0,4.42,0.11,0.27,0.43900000000000006,0.007841974896735604,0.00960050622945139
Wang ESRD,287,230,184,24,24,10,0.15,0.015,equal,100,0.096,2,10.0,9.77,0.59,0.0,0.9620000000000001,0.057380243593811775,0.058978552115062
Wang ESRD,287,230,184,24,24,10,0.2,0.02,equal,100,0.096,2,10.0,10.05,0.87,0.0,0.995,0.11914815301564585,0.11772863907757218
Wang ESRD,287,230,184,24,24,10,0.3,0.03,equal,100,0.096,2,10.0,10.02,0.98,0.0,1.0,0.2352090205627666,0.23492205300729918
Wang ESRD,287,230,184,24,24,10,0.5,0.05,equal,100,0.096,2,10.0,10.0,1.0,0.0,1.0,0.45078621289060855,0.45086865713864266
Yachida CRC,347,278,222,24,24,2,0.02,0.01,equal,100,0.098,2,0.0,0.39,0.06,0.67,0.195,0.0,0.0010521571189761837
Yachida CRC,347,278,222,24,24,2,0.05,0.025,equal,100,0.098,2,2.0,2.0,1.0,0.0,1.0,0.03103327227844488,0.03003677051281028
Yachida CRC,347,278,222,24,24,2,0.1,0.05,equal,100,0.098,2,2.0,2.0,1.0,0.0,1.0,0.0831298566888487,0.08371376574409012
Yachida CRC,347,278,222,24,24,2,0.15,0.075,equal,100,0.098,2,2.0,2.0,1.0,0.0,1.0,0.13505611319766048,0.13477414292718964
Yachida CRC,347,278,222,24,24,2,0.2,0.1,equal,100,0.098,2,2.0,2.0,1.0,0.0,1.0,0.18392816951699315,0.18561596075472855
Yachida CRC,347,278,222,24,24,2,0.3,0.15,equal,100,0.098,2,2.0,2.0,1.0,0.0,1.0,0.286584977704888,0.28732270568459517
Yachida CRC,347,278,222,24,24,2,0.5,0.25,equal,100,0.098,2,2.0,2.0,1.0,0.0,1.0,0.4933623164881896,0.49218674926346573
Yachida CRC,347,278,222,24,24,10,0.02,0.002,equal,100,0.098,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yachida CRC,347,278,222,24,24,10,0.05,0.005,equal,100,0.098,2,0.0,0.16,0.0,0.86,0.016,0.0,0.00029993482394823025
Yachida CRC,347,278,222,24,24,10,0.1,0.01,equal,100,0.098,2,9.0,8.77,0.31,0.02,0.8590000000000001,0.018012754159314748,0.02008408594840369
Yachida CRC,347,278,222,24,24,10,0.15,0.015,equal,100,0.098,2,10.0,10.06,0.84,0.0,0.9940000000000001,0.07896285304842454,0.0784315171310672
Yachida CRC,347,278,222,24,24,10,0.2,0.02,equal,100,0.098,2,10.0,10.05,0.95,0.0,1.0,0.1353701607225708,0.13601184088629378
Yachida CRC,347,278,222,24,24,10,0.3,0.03,equal,100,0.098,2,10.0,10.01,0.99,0.0,1.0,0.24659091054884846,0.246690110769417
Yachida CRC,347,278,222,24,24,10,0.5,0.05,equal,100,0.098,2,10.0,10.0,1.0,0.0,1.0,0.46023621142671395,0.4614458886908175
